,Unnamed: 0,Issued,Operating Name,Licence Address Line 3,Licence No.,Category,postal,lat,lng,year,area
103909,103938,18/09/84,,L1T,T850067760,BUILDING RENOVATOR,L1T,43.87677,-79.051282,1984,L1T
103910,103939,13/07/78,BLUE & WHITE INSTALLATION,M1B,T850067877,BUILDING RENOVATOR,M1B,43.754569,-79.352342,1978,M1B
103911,103940,22/08/84,,M1B,T850068495,BUILDING RENOVATOR,M1B,43.754569,-79.352342,1984,M1B
103912,103941,10/09/84,,M9L,T850068800,BUILDING RENOVATOR,M9L,43.75901,-79.545197,1984,M9L
103913,103942,24/10/84,J C CONSTRUCTION,M9L,T850068834,BUILDING RENOVATOR,M9L,43.75901,-79.545197,1984,M9L
103914,103943,15/10/84,,L9P,T850068917,BUILDING RENOVATOR,L9P,44.105288,-79.106511,1984,L9P
103915,103944,06/09/84,ROBINSON CARPENTRY,L5H,T850068925,BUILDING RENOVATOR,L5H,43.549495,-79.590034,1984,L5H
103916,103945,17/11/78,,L4C,T850069048,BUILDING RENOVATOR,L4C,43.894145,-79.436629,1978,L4C
103917,103946,22/03/74,,L0G,T850069204,BUILDING RENOVATOR,L0G,43.850018,-79.328474,1974,L0G
103918,103947,18/09/84,,M8X,T850069246,BUILDING RENOVATOR,M8X,43.65958,-79.509705,1984,M8X
103919,103948,15/10/84,,M1K,T850069451,BUILDING RENOVATOR,M1K,43.720406,-79.255784,1984,M1K
103920,103949,15/10/84,,L7L,T850069501,BUILDING RENOVATOR,L7L,43.372435,-79.788046,1984,L7L
